K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.5,-0.5,-0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02065,0.02427,0.02102,0.02572,0.02102,0.02572,0.02365,0.03166,0.02572,0.0307,0.21299920589549678,0.22320827644073693,0.22145404590524637,0.2415533637034566,0.22145404590524495,0.2415533637034558,0.2415533637046266,0.1968767563971088,0.24155336370345576,0.1968767563958599,-0.015602690191679189,-0.004697341801591794,-0.01681801012498717,-0.0032025387383501952,-0.01681801012498717,-0.0032025387383500924,-0.003202538738306131,0.020368269701834644,-0.0032025387383501046,0.020368269701703343
1,0.7,1,1.8,1,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02214,0.0251,0.02241,0.0257,0.02241,0.0257,0.0235,0.03239,0.0257,0.0313,0.2138562841485561,0.22380242607946746,0.2224396909070063,0.24214641479593163,0.2224396909070048,0.2421464147959307,0.24214641479710503,0.19708607431842634,0.2421464147959307,0.19708607431717404,-0.014272446451087164,-0.004790923729946318,-0.015848171053081336,-0.004184139259524721,-0.015848171053081485,-0.004184139259524654,-0.00418413925948934,0.01796034674016118,-0.004184139259524668,0.017960346740047844
1,0.7,1,1.8,1,-0.3888888888888889,-0.3888888888888889,-0.3888888888888889,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02274,0.02556,0.0226,0.0257,0.0226,0.0257,0.02354,0.0313,0.0257,0.0301,0.21286315990408766,0.223130659384632,0.22130077859054345,0.2414997994114826,0.22130077859054265,0.24149979941148206,0.24149979941265484,0.19642453926571543,0.24149979941148203,0.19642453926446957,-0.01239635602253985,-0.004509216935857243,-0.013616095292026538,-0.0040353872686567285,-0.013616095292026559,-0.004035387268656657,-0.004035387268621502,0.015735840726401107,-0.004035387268656645,0.015735840726303997
1,0.7,1,1.8,1,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.0226,0.02482,0.02221,0.02537,0.02221,0.02537,0.0231,0.03053,0.02537,0.02962,0.21292450969836638,0.22338394241207796,0.22133233655583331,0.24193663944863447,0.22133233655583195,0.24193663944863372,0.2419366394498046,0.19650374734427933,0.24193663944863372,0.19650374734303414,-0.011252177637656022,-0.004441318496131279,-0.012473437108627859,-0.0043067911144615435,-0.012473437108627902,-0.004306791114461409,-0.004306791114429379,0.013255445761241613,-0.004306791114461407,0.013255445761160908
1,0.7,1,1.8,1,-0.2777777777777778,-0.2777777777777778,-0.2777777777777778,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02191,0.02442,0.02178,0.02501,0.02178,0.02501,0.02258,0.02894,0.02501,0.02797,0.21226725723653792,0.2225806032872633,0.22048868304780542,0.24097381568055964,0.22048868304780345,0.2409738156805584,0.24097381568172155,0.19604787622296033,0.24097381568055842,0.19604787622171463,-0.00998283687460403,-0.0040591249786523145,-0.01103618543321175,-0.004123186313308893,-0.011036185433211604,-0.004123186313309013,-0.004123186313272362,0.01065314273075629,-0.00412318631330904,0.010653142730688292
1,0.7,1,1.8,1,-0.2222222222222222,-0.2222222222222222,-0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02323,0.02495,0.02304,0.02522,0.02304,0.02522,0.02331,0.02903,0.02522,0.02812,0.2130007333286761,0.22371699046276125,0.22110542416249673,0.2416175573107199,0.22110542416249523,0.24161755731071805,0.2416175573118878,0.19644153383894153,0.24161755731071805,0.1964415338376928,-0.007084271537740604,-0.0026887712754239,-0.007858265015486237,-0.002826253446103167,-0.007858265015486258,-0.00282625344610291,-0.002826253446054653,0.009598087820250501,-0.002826253446102931,0.009598087820186833
1,0.7,1,1.8,1,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.024140000000000002,0.02555,0.02396,0.02562,0.02396,0.02562,0.02344,0.02891,0.02562,0.02805,0.21308294994294835,0.22325220762943354,0.22127254643464925,0.24145131968832523,0.22127254643464758,0.2414513196883245,0.2414513196895055,0.19674840066827995,0.2414513196883245,0.19674840066703067,-0.005216655004597694,-0.0020264097422321788,-0.00609823620730994,-0.002924216437971009,-0.006098236207310043,-0.0029242164379710933,-0.0029242164379319102,0.00789191500825149,-0.002924216437971101,0.0078919150082047
1,0.7,1,1.8,1,-0.11111111111111116,-0.11111111111111116,-0.11111111111111116,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02422,0.02497,0.02369,0.02543,0.02369,0.02543,0.02327,0.02744,0.02543,0.02661,0.21225742795540245,0.22299656961005138,0.2201995085654723,0.24106492363784804,0.2201995085654709,0.2410649236378473,0.24106492363903542,0.19616996660672317,0.2410649236378473,0.19616996660547478,-0.0043169582214622505,-0.0025146069994399583,-0.0051365145026111845,-0.0035721751224315726,-0.0051365145026111255,-0.0035721751224316047,-0.0035721751223998606,0.005088474862876817,-0.0035721751224316164,0.0050884748628467645
1,0.7,1,1.8,1,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02433,0.02503,0.02408,0.0255,0.02408,0.0255,0.02336,0.02654,0.0255,0.02558,0.21284318409169214,0.2234581853217057,0.22101965976286855,0.24181346652040095,0.22101965976286733,0.2418134665204001,0.24181346652156796,0.19655287006136782,0.24181346652040012,0.19655287006012398,-0.0032586254073360306,-0.002702550869655552,-0.003934332676235885,-0.003969994524921651,-0.00393433267623579,-0.003969994524921681,-0.003969994524887921,0.002004285172913147,-0.0039699945249216965,0.0020042851729018558
1,0.7,1,1.8,1,0,0,0,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02464,0.0249,0.02459,0.02532,0.02459,0.02532,0.02324,0.02514,0.02532,0.02434,0.21184717498624436,0.22264436949754293,0.22005306333912508,0.24115360552806872,0.2200530633391237,0.24115360552806778,0.24115360552923376,0.195907941389361,0.2411536055280678,0.19590794138811962,-0.0017139415767844627,-0.0019559183314805874,-0.002353219465350072,-0.0038418021540707805,-0.002353219465350065,-0.003841802154071033,-0.003841802154036507,-7.939612842210124e-5,-0.003841802154071051,-7.939612841987036e-5
1,0.7,1,1.8,1,0.05555555555555558,0.05555555555555558,0.05555555555555558,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02477,0.02493,0.02479,0.02511,0.02479,0.02511,0.02312,0.02522,0.02511,0.0243,0.21255693711083226,0.22315667829165675,0.22009848573627325,0.2408941925130631,0.22009848573627183,0.24089419251306216,0.24089419251423505,0.19655986973535078,0.24089419251306218,0.19655986973410175,-1.8489310070187153e-4,-0.002442326632664516,-4.204333185184456e-4,-0.0039101419721437325,-4.2043331851858597e-4,-0.003910141972143674,-0.003910141972105148,-0.0021381294279597166,-0.003910141972143675,-0.0021381294279468306
1,0.7,1,1.8,1,0.11111111111111105,0.11111111111111105,0.11111111111111105,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02582,0.02564,0.02561,0.02583,0.02561,0.02583,0.02338,0.02419,0.02583,0.02338,0.21210250973836922,0.22285570759293696,0.21985686042003905,0.24138924529819616,0.21985686042003783,0.24138924529819508,0.2413892452993682,0.196213275253678,0.2413892452981951,0.19621327525243568,0.0012208963115162238,-0.0016546951331112916,7.295639769041881e-4,-0.0038890012934344647,7.295639769042882e-4,-0.0038890012934342483,-0.0038890012934012412,-0.004358341415991019,-0.003889001293434258,-0.004358341415960772
1,0.7,1,1.8,1,0.16666666666666663,0.16666666666666663,0.16666666666666663,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02645,0.02589,0.02612,0.02619,0.02612,0.02619,0.0239,0.02371,0.02619,0.0229,0.21305478283238097,0.22391279261198024,0.22101276759834898,0.24222199794782076,0.2210127675983477,0.24222199794781976,0.2422219979489937,0.19683708129450497,0.24222199794781973,0.19683708129325864,0.003671575069047307,-5.649723518719048e-4,0.0032216868000864416,-0.00318174139434358,0.0032216868000866255,-0.0031817413943434126,-0.0031817413943022056,-0.005931836829416515,-0.00318174139434341,-0.005931836829380445
1,0.7,1,1.8,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02639,0.02546,0.02642,0.02586,0.02642,0.02586,0.02368,0.02301,0.02586,0.02221,0.21190284138904453,0.22282919758007702,0.21965891825578948,0.2412022630638839,0.21965891825578793,0.24120226306388276,0.24120226306506265,0.19636545704035427,0.24120226306388276,0.19636545703910777,0.0044659532902200485,-0.0013225405157800518,0.004304901245665349,-0.00438435168289152,0.004304901245665269,-0.004384351682891604,-0.0043843516828597105,-0.00914213012174511,-0.0043843516828916025,-0.009142130121687608
1,0.7,1,1.8,1,0.2777777777777777,0.2777777777777777,0.2777777777777777,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02707,0.02565,0.02725,0.0257,0.02725,0.0257,0.02315,0.02245,0.0257,0.02161,0.21279007126294489,0.22308151819669067,0.22101669047564357,0.24135975677167174,0.22101669047564243,0.2413597567716704,0.241359756772847,0.1968245307532819,0.24135975677167038,0.19682453075203613,0.0056375960556957075,-8.917927139965375e-4,0.0055649225033379554,-0.003687348119808142,0.005564922503338194,-0.003687348119808179,-0.0036873481197733883,-0.011686785580715923,-0.003687348119808183,-0.011686785580639066
1,0.7,1,1.8,1,0.33333333333333326,0.33333333333333326,0.33333333333333326,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02827,0.02555,0.02856,0.02558,0.02856,0.02558,0.02331,0.02247,0.02558,0.02175,0.21362613353683924,0.224121101735374,0.22147879347796165,0.24257224839897742,0.22147879347796015,0.24257224839897618,0.24257224840015107,0.1975631098892785,0.24257224839897623,0.19756310988802608,0.00771590180576395,-0.001074413649274953,0.007670032353635146,-0.004882472790019388,0.007670032353635125,-0.004882472790019273,-0.004882472789985448,-0.013423466646704527,-0.004882472790019299,-0.013423466646618242
1,0.7,1,1.8,1,0.38888888888888884,0.38888888888888884,0.38888888888888884,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.0279,0.02499,0.028,0.02534,0.028,0.02534,0.02337,0.02126,0.02534,0.02052,0.21270401337738884,0.2231989687063516,0.2202061185172225,0.2412454859005249,0.2202061185172211,0.2412454859005236,0.24124548590170541,0.19739519949511494,0.24124548590052355,0.19739519949386305,0.00899975771060779,-2.4835902464328977e-4,0.009272358393749559,-0.0037875096163317973,0.009272358393749668,-0.0037875096163315575,-0.003787509616296374,-0.016196506897102902,-0.0037875096163315376,-0.01619650689700103
1,0.7,1,1.8,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02919,0.02651,0.0288,0.02586,0.0288,0.02586,0.02366,0.02166,0.02586,0.0209,0.21352246470872477,0.2241504139420657,0.22120513095785588,0.2427588786736258,0.2212051309578544,0.24275887867362442,0.2427588786748,0.19803150230492092,0.24275887867362442,0.19803150230367295,0.012393662216739286,0.0017044427596704377,0.01218152481676377,-0.002968309368728692,0.012181524816763609,-0.0029683093687285864,-0.0029683093686871807,-0.016557982722516174,-0.0029683093687285986,-0.01655798272241153
1,0.7,1,1.8,1,0.5,0.5,0.5,250,250,125,125,125,125,250,inv_u,add,binary,250,EQ,H0_1,0.5,0.02878,0.02571,0.0285,0.02547,0.0285,0.02547,0.02306,0.01971,0.02547,0.01915,0.2131242957474775,0.2236845883280037,0.22086238468934058,0.2424040270931418,0.22086238468933922,0.2424040270931406,0.2424040270943129,0.19759845826655176,0.24240402709314066,0.1975984582653053,0.012114614835398878,1.285036452424004e-4,0.012062488060581807,-0.005001132841138323,0.012062488060581774,-0.005001132841137966,-0.005001132841105944,-0.020580083183152426,-0.005001132841138013,-0.020580083183022777
